code;product_name_pl;product_name_en;generic_name_en;generic_name_pl;quantity;serving_size;brands;categories;categories_tags;countries;countries_tags;origins_tags;energy-kcal_value;energy-kcal_unit;fat_value;fat_unit;saturated-fat_value;saturated-fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit
28015406;Pieczywo chrupkie kukurydziane;;;;160 g;6,15 g;ideal;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Chleb, Pieczywo chrupkie;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:crispbreads;Polska;en:poland;;369;kcal;0.5;g;0.1;g;82;g;1.5;g;3.8;g;7.6;g;1.1;g
4056489529712;Tofu plain;;;;2 x 180 g;;Vemondo;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Strączkowe i produkty strączkowe, Alternatywy mięsa, Tofu, Tofu naturalne;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:meat-alternatives,en:tofu,en:plain-tofu;Polska;en:poland;;125;kcal;7.5;g;1;g;2.3;g;0.5;g;1;g;12;g;0.2;g
4056489506829;Tortilla Wraps with whole wheat;;;Tortilla pełnoziarnista;740 g;62 g;Snack Day,Lidl;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Chleb, en:Flatbreads, en:White breads, Chleb biały, en:Wheat flatbreads;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,en:white-breads,en:wheat-breads,en:wheat-flatbreads;Polska;en:poland;;289;kcal;6;g;1.1;g;46.3;g;2.7;g;6.4;g;9.3;g;1;g
5901886036358;Syrop o smaku liczi z guawą;;;;440 ml;20 ml;Hrebarium;Napoje, Syrop, Syropy smakowe, Syropy owocowe;en:beverages,en:syrups,en:flavoured-syrups,en:syrups-with-fruits;Polska;en:poland;;312;kcal;0.5;g;0.1;g;78;g;75;g;;;0.5;g;0.01;g
8019290480173;LaPinsa;;;;250 g;;Tuscanya bakery;Żywność i napoje na bazie roślin, Żywność na bazie roślin, Zboża i ziemniaki, Chleb, en:Flatbreads, it:pinsa, Pinsa;en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:flatbreads,it:pinsa,pl:pinsa;Polska;en:poland;;262;kcal;6;g;1;g;42;g;1.5;g;3.5;g;8.3;g;1.8;g
5900749624947;Bakalland Baton 5 ziaren z miodem;;;;40g;;;;;Polska;en:poland;;560;kcal;40;g;5.1;g;32;g;29;g;5.6;g;15;g;0.02;g
5901529009275;Twaróg tłusty;;;;200 g;;miletto;Nabiał, Żywność fermentowana, Fermentowane produkty mleczne, Sery, Twaróg;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:quarks;Polska;en:poland;;160;kcal;9;g;6.5;g;2.9;g;2.9;g;;;16;g;0.06;g
5904716011181;Ser gouda;;;;1 kg;20,8 g;Polmlek;Nabiał, Żywność fermentowana, Fermentowane produkty mleczne, Sery, Ser krowi, en:Uncooked pressed cheeses, Gouda;en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:cow-cheeses,en:uncooked-pressed-cheeses,en:gouda;Polska;en:poland;;344;kcal;26;g;18;g;1.4;g;0.2;g;0;g;26;g;1.5;g
5901588088914;Oh! Kwiat lawendy;;;;;70 g;E.Wedel;Desery, Produkty mrożone, Mrożone desery, Lody i sorbety, Lody;en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams;Polska;en:poland;;296;kcal;17;g;10;g;33;g;33;g;0.2;g;3.4;g;0.09;g
5901751001740;Erytrytol;;;;250 g;;Zielony listek,Domos;Produkty wykorzystywane do słodzenia, Dodatek do żywności, Zastępniki cukru, Sztuczne zastępniki cukru, Erytrytol;en:sweeteners,en:food-additives,en:sugar-substitutes,en:artificial-sugar-substitutes,en:erythritol;Polska;en:poland;;0;kcal;0;g;0;g;99;g;0;g;;;0;g;0.01;g
